filename,labware_class,labware_subclass,manufacturer,total_positions,rows,columns,orientation,well_max_volume_ul,well_depth_mm,well_bottom_shape,well_top_shape,well_dx_mm,well_dy_mm,well_spacing_dx_mm,well_spacing_dy_mm,rack_dx_mm,rack_dy_mm,rack_dz_mm,stack_height_mm,connected_container,clld_capable,container_file,display_name,description,category_ids,category_names,vendor_folder,relative_path,data_type,read_only,file_type
Cos_96_DW_2mL_L.rck,plate,deep_well,Corning-Costar,96,8,12,landscape,2566.0,42.0,round,square,8.0,8.0,9.0,9.0,127.0,86.0,43.5,0.0,No,Yes,corning-costar\\cos_96_dw_2ml.ctr,Cos_96_DW_2mL_L.rck,,,,CORNING-COSTAR,CORNING-COSTAR/Cos_96_DW_2mL_L.rck,1,Yes,rck
Cos_96_DW_2mL_P.rck,plate,deep_well,Corning-Costar,96,12,8,portrait,2566.0,42.0,round,square,8.0,8.0,9.0,9.0,86.0,127.0,43.5,0.0,No,Yes,corning-costar\\cos_96_dw_2ml.ctr,Cos_96_DW_2mL_P.rck,,1006,Deep well plates,CORNING-COSTAR,CORNING-COSTAR/Cos_96_DW_2mL_P.rck,0,Yes,rck
Cos_96_DW_500ul.rck,plate,deep_well,Corning-Costar,96,8,12,landscape,832.7,25.0,v-bottom,oval,6.9,6.4,9.0,9.0,127.0,86.0,27.5,0.0,No,Yes,corning-costar\\cos_96_dw_500ul.ctr,Cos_96_DW_500ul.rck,,1003;1006;1015,96 positions plates;Deep well plates;Corning-Costar,CORNING-COSTAR,CORNING-COSTAR/Cos_96_DW_500ul.rck,1,Yes,rck
Cos_96_DW_500ul_L.rck,plate,deep_well,Corning-Costar,96,8,12,landscape,832.7,25.0,v-bottom,oval,6.9,6.4,9.0,9.0,127.0,86.0,27.5,0.0,No,Yes,corning-costar\\cos_96_dw_500ul.ctr,Cos_96_DW_500ul_L.rck,,,,CORNING-COSTAR,CORNING-COSTAR/Cos_96_DW_500ul_L.rck,1,Yes,rck
Cos_96_DW_500ul_P.rck,plate,deep_well,Corning-Costar,96,12,8,portrait,832.7,25.0,v-bottom,oval,6.9,6.4,9.0,9.0,86.0,127.0,27.5,0.0,No,Yes,corning-costar\\Cos_96_DW_500ul.ctr,Cos_96_DW_500ul_P.rck,,,,CORNING-COSTAR,CORNING-COSTAR/Cos_96_DW_500ul_P.rck,0,Yes,rck
Cos_96_EZWash.rck,plate,standard,Corning-Costar,96,8,12,landscape,422.5,11.3,flat,round,6.9,6.9,9.0,9.0,127.0,86.0,14.5,0.0,No,No,corning-costar\\cos_96_ezwash.ctr,Cos_96_EZWash.rck,,1003;1015,96 positions plates;Corning-Costar,CORNING-COSTAR,CORNING-COSTAR/Cos_96_EZWash.rck,1,Yes,rck
Cos_96_EZWash_L.rck,plate,standard,Corning-Costar,96,8,12,landscape,422.5,11.3,flat,round,6.9,6.9,9.0,9.0,127.0,86.0,14.5,0.0,No,No,corning-costar\\cos_96_ezwash.ctr,Cos_96_EZWash_L.rck,,,,CORNING-COSTAR,CORNING-COSTAR/Cos_96_EZWash_L.rck,1,Yes,rck
Cos_96_EZWash_P.rck,plate,standard,Corning-Costar,96,12,8,portrait,422.5,11.3,flat,round,6.9,6.9,9.0,9.0,86.0,127.0,14.5,0.0,No,No,corning-costar\\Cos_96_EZWash.ctr,Cos_96_EZWash_P.rck,,,,CORNING-COSTAR,CORNING-COSTAR/Cos_96_EZWash_P.rck,0,Yes,rck
Cos_96_Filter.rck,plate,filter,Corning-Costar,96,8,12,landscape,423.9,12.2,flat,oval,6.9,6.4,9.0,9.0,127.0,86.0,14.5,13.0,No,No,corning-costar\\cos_96_filter.ctr,Corning 96 filter.rck,Corning plate with 96 filter wells,1003;1009;1015,96 positions plates;Filter plates;Corning-Costar,CORNING-COSTAR,CORNING-COSTAR/Cos_96_Filter.rck,1,Yes,rck
Cos_96_Filter_L.rck,plate,filter,Corning-Costar,96,8,12,landscape,423.9,12.2,flat,oval,6.9,6.4,9.0,9.0,127.0,86.0,14.5,13.0,No,No,corning-costar\\cos_96_filter.ctr,Corning filter 96 (Landscape),Corning plate with 96 filter wells (Landscape),,,CORNING-COSTAR,CORNING-COSTAR/Cos_96_Filter_L.rck,1,Yes,rck
Cos_96_Filter_P.rck,plate,filter,Corning-Costar,96,12,8,portrait,423.9,12.2,flat,oval,6.9,6.4,9.0,9.0,86.0,127.0,14.5,13.0,No,No,corning-costar\\Cos_96_Filter.ctr,Corning filter 96 (Portrait),Corning plate with 96 filter wells (Portrait),,,CORNING-COSTAR,CORNING-COSTAR/Cos_96_Filter_P.rck,0,Yes,rck
Cos_96_Fl.rck,plate,standard,Corning-Costar,96,8,12,landscape,365.8,10.67,flat,oval,6.86,6.35,9.0,9.0,127.0,86.0,14.24,13.0,No,Yes,corning-costar\\Cos_96_Fl.ctr,Costar 96 FL.rck,Costar plate with 96 flat bottom wells,1003;1015,96 positions plates;Corning-Costar,CORNING-COSTAR,CORNING-COSTAR/Cos_96_Fl.rck,1,Yes,rck
Cos_96_Fl_L.rck,plate,standard,Corning-Costar,96,8,12,landscape,365.8,10.67,flat,oval,6.86,6.35,9.0,9.0,127.0,86.0,14.24,13.0,No,Yes,corning-costar\\Cos_96_Fl.ctr,Costar 96 (Landscape),Costar plate with 96 flat bottom wells (Landscape),,,CORNING-COSTAR,CORNING-COSTAR/Cos_96_Fl_L.rck,1,Yes,rck
Cos_96_Fl_P.rck,plate,standard,Corning-Costar,96,12,8,portrait,365.8,10.67,flat,oval,6.86,6.35,9.0,9.0,86.0,127.0,14.24,13.0,No,Yes,corning-costar\\Cos_96_Fl.ctr,Costar 96 (Portrait),Costar plate with 96 flat bottom wells (Portrait),,,CORNING-COSTAR,CORNING-COSTAR/Cos_96_Fl_P.rck,0,Yes,rck
Cos_96_HalfArea.rck,plate,standard,Corning-Costar,96,8,12,landscape,189.8,10.7,flat,oval,5.0,4.5,9.0,9.0,127.0,86.0,14.5,13.0,No,No,corning-costar\\cos_96_halfarea.ctr,Cos_96_HalfArea.rck,,1003;1015,96 positions plates;Corning-Costar,CORNING-COSTAR,CORNING-COSTAR/Cos_96_HalfArea.rck,1,Yes,rck
Cos_96_HalfArea_L.rck,plate,standard,Corning-Costar,96,8,12,landscape,189.8,10.7,flat,oval,5.0,4.5,9.0,9.0,127.0,86.0,14.5,13.0,No,No,corning-costar\\cos_96_halfarea.ctr,Cos_96_HalfArea_L.rck,,,,CORNING-COSTAR,CORNING-COSTAR/Cos_96_HalfArea_L.rck,1,Yes,rck
Cos_96_HalfArea_P.rck,plate,standard,Corning-Costar,96,12,8,portrait,189.8,10.7,flat,oval,5.0,4.5,9.0,9.0,86.0,127.0,14.5,13.0,No,No,corning-costar\\Cos_96_HalfArea.ctr,Cos_96_HalfArea_P.rck,,,,CORNING-COSTAR,CORNING-COSTAR/Cos_96_HalfArea_P.rck,0,Yes,rck
Cos_96_PCR.rck,plate,pcr,Corning-Costar,96,8,12,landscape,289.7,20.5,v-bottom,oval,6.0,5.0,9.0,9.0,127.0,86.0,22.5,0.0,No,No,CORNING-COSTAR\\cos_96_pcr.ctr,Cos_96_PCR.rck,,1003;1010;1015,96 positions plates;PCR plates;Corning-Costar,CORNING-COSTAR,CORNING-COSTAR/Cos_96_PCR.rck,1,Yes,rck
Cos_96_PCR_L.rck,plate,pcr,Corning-Costar,96,8,12,landscape,289.7,20.5,v-bottom,oval,6.0,5.0,9.0,9.0,127.0,86.0,23.5,0.0,No,No,corning-costar\\cos_96_pcr.ctr,Cos_96_PCR_L.rck,,,,CORNING-COSTAR,CORNING-COSTAR/Cos_96_PCR_L.rck,1,Yes,rck
Cos_96_PCR_P.rck,plate,pcr,Corning-Costar,96,12,8,portrait,289.7,20.5,v-bottom,oval,6.0,5.0,9.0,9.0,86.0,127.0,23.5,0.0,No,No,corning-costar\\cos_96_pcr.ctr,Cos_96_PCR_P.rck,,,,CORNING-COSTAR,CORNING-COSTAR/Cos_96_PCR_P.rck,0,Yes,rck
Cos_96_ProtCryst.rck,plate,protein_crystallization,Corning-Costar,192,8,24,n/a,268.5,12.1,flat,oval,6.0,4.6,4.5,9.0,127.0,86.0,20.0,0.0,No,No,corning-costar\\cos_96_res.ctr,Cos_96_ProtCryst.rck,,1003;1015,96 positions plates;Corning-Costar,CORNING-COSTAR,CORNING-COSTAR/Cos_96_ProtCryst.rck,2,Yes,rck
Cos_96_ProtCryst_L.rck,plate,protein_crystallization,Corning-Costar,192,8,24,landscape,268.5,12.1,flat,oval,6.0,4.6,4.5,9.0,127.0,86.0,20.0,0.0,No,No,corning-costar\\cos_96_res.ctr,Cos_96_ProtCryst_L.rck,,,,CORNING-COSTAR,CORNING-COSTAR/Cos_96_ProtCryst_L.rck,2,Yes,rck
Cos_96_ProtCryst_P.rck,plate,protein_crystallization,Corning-Costar,192,24,8,portrait,268.5,12.1,flat,oval,6.0,4.6,9.0,4.5,86.0,127.0,20.0,0.0,No,No,corning-costar\\cos_96_res.ctr,Cos_96_ProtCryst_P.rck,,,,CORNING-COSTAR,CORNING-COSTAR/Cos_96_ProtCryst_P.rck,2,Yes,rck
Cos_96_Rd.rck,plate,standard,Corning-Costar,96,8,12,landscape,375.2,11.3,round,oval,6.9,6.4,9.0,9.0,127.0,86.0,14.5,0.0,No,Yes,corning-costar\\cos_96_rd.ctr,Cos_96_Rd.rck,,1003;1015,96 positions plates;Corning-Costar,CORNING-COSTAR,CORNING-COSTAR/Cos_96_Rd.rck,1,Yes,rck
Cos_96_Rd_L.rck,plate,standard,Corning-Costar,96,8,12,landscape,375.2,11.3,round,oval,6.9,6.4,9.0,9.0,127.0,86.0,14.5,0.0,No,Yes,corning-costar\\cos_96_rd.ctr,Cos_96_Rd_L.rck,,,,CORNING-COSTAR,CORNING-COSTAR/Cos_96_Rd_L.rck,1,Yes,rck
Cos_96_Rd_P.rck,plate,standard,Corning-Costar,96,12,8,portrait,375.2,11.3,round,oval,6.9,6.4,9.0,9.0,86.0,127.0,20.0,0.0,No,Yes,corning-costar\\Cos_96_Rd.ctr,Cos_96_Rd_P.rck,,,,CORNING-COSTAR,CORNING-COSTAR/Cos_96_Rd_P.rck,0,Yes,rck
Cos_96_SpecOps.rck,plate,spe,Corning-Costar,96,8,12,landscape,382.2,11.0,flat,oval,6.9,6.4,9.0,9.0,127.0,86.0,14.3,0.0,No,No,corning-costar\\cos_96_specops.ctr,Cos_96_SpecOps.rck,,1003;1015,96 positions plates;Corning-Costar,CORNING-COSTAR,CORNING-COSTAR/Cos_96_SpecOps.rck,1,Yes,rck
Cos_96_SpecOps_L.rck,plate,spe,Corning-Costar,96,8,12,landscape,382.2,11.0,flat,oval,6.9,6.4,9.0,9.0,127.0,86.0,14.3,0.0,No,No,corning-costar\\cos_96_specops.ctr,Cos_96_SpecOps_L.rck,,,,CORNING-COSTAR,CORNING-COSTAR/Cos_96_SpecOps_L.rck,1,Yes,rck
Cos_96_SpecOps_P.rck,plate,spe,Corning-Costar,96,12,8,portrait,382.2,11.0,flat,oval,6.9,6.4,9.0,9.0,86.0,127.0,14.3,0.0,No,No,corning-costar\\Cos_96_SpecOps.ctr,Cos_96_SpecOps_P.rck,,,,CORNING-COSTAR,CORNING-COSTAR/Cos_96_SpecOps_P.rck,0,Yes,rck
Cos_96_UV.rck,plate,uv,Corning-Costar,96,8,12,landscape,382.2,11.0,flat,oval,6.9,6.4,9.0,9.0,127.0,86.0,14.3,0.0,No,No,corning-costar\\cos_96_uv.ctr,Cos_96_UV.rck,,1003;1015,96 positions plates;Corning-Costar,CORNING-COSTAR,CORNING-COSTAR/Cos_96_UV.rck,1,Yes,rck
Cos_96_UV_L.rck,plate,uv,Corning-Costar,96,8,12,landscape,382.2,11.0,flat,oval,6.9,6.4,9.0,9.0,127.0,86.0,14.3,0.0,No,No,corning-costar\\cos_96_uv.ctr,Cos_96_UV_L.rck,,,,CORNING-COSTAR,CORNING-COSTAR/Cos_96_UV_L.rck,1,Yes,rck
Cos_96_UV_P.rck,plate,uv,Corning-Costar,96,12,8,portrait,382.2,11.0,flat,oval,6.9,6.4,9.0,9.0,86.0,127.0,14.3,0.0,No,No,corning-costar\\cos_96_uv.ctr,Cos_96_UV_P.rck,,,,CORNING-COSTAR,CORNING-COSTAR/Cos_96_UV_P.rck,0,Yes,rck
Cos_96_Vb.rck,plate,standard,Corning-Costar,96,8,12,landscape,365.9,10.9,v-bottom,round,6.9,6.9,9.0,9.0,127.0,86.0,14.24,13.0,No,No,corning-costar\\Cos_96_Vb.ctr,Cos_96_Vb.rck,,1003;1015,96 positions plates;Corning-Costar,CORNING-COSTAR,CORNING-COSTAR/Cos_96_Vb.rck,1,Yes,rck
Cos_96_Vb_L.rck,plate,standard,Corning-Costar,96,8,12,landscape,365.9,10.9,v-bottom,round,6.9,6.9,9.0,9.0,127.0,86.0,14.24,13.0,No,No,corning-costar\\Cos_96_Vb.ctr,Cos_96_Vb_L.rck,,,,CORNING-COSTAR,CORNING-COSTAR/Cos_96_Vb_L.rck,1,Yes,rck
Cos_96_Vb_P.rck,plate,standard,Corning-Costar,96,12,8,portrait,365.9,10.9,v-bottom,round,6.9,6.9,9.0,9.0,86.0,127.0,14.24,13.0,No,No,corning-costar\\Cos_96_Vb.ctr,Cos_96_Vb_P.rck,,,,CORNING-COSTAR,CORNING-COSTAR/Cos_96_Vb_P.rck,0,Yes,rck
